,support,itemsets
70,0.4011379800853485,"frozenset({'Male', 'NoSubscr'})"
71,0.21621621621621623,"frozenset({'Male', 'PayPal'})"
72,0.43385490753911804,"frozenset({'Male', 'YesDisco'})"
73,0.43385490753911804,"frozenset({'Male', 'YesPromo'})"
74,0.2901849217638691,"frozenset({'Male', 'YesSubscr'})"
75,0.566145092460882,"frozenset({'NoDisco', 'NoPromo'})"
76,0.566145092460882,"frozenset({'NoDisco', 'NoSubscr'})"
77,0.566145092460882,"frozenset({'NoSubscr', 'NoPromo'})"
78,0.2147937411095306,"frozenset({'NoSubscr', 'PayPal'})"
79,0.2034139402560455,"frozenset({'Venmo', 'NoSubscr'})"
80,0.43385490753911804,"frozenset({'YesPromo', 'YesDisco'})"
81,0.2901849217638691,"frozenset({'YesSubscr', 'YesDisco'})"
82,0.2901849217638691,"frozenset({'YesPromo', 'YesSubscr'})"
83,0.20483641536273114,"frozenset({'NoDisco', '20-39', 'NoPromo'})"
84,0.20483641536273114,"frozenset({'NoDisco', '20-39', 'NoSubscr'})"
85,0.20483641536273114,"frozenset({'20-39', 'NoPromo', 'NoSubscr'})"
86,0.22190611664295876,"frozenset({'NoDisco', 'NoPromo', '3-4'})"
87,0.22190611664295876,"frozenset({'NoDisco', 'NoSubscr', '3-4'})"
88,0.22190611664295876,"frozenset({'NoSubscr', 'NoPromo', '3-4'})"
89,0.21906116642958748,"frozenset({'4+', 'NoDisco', 'NoPromo'})"
90,0.21906116642958748,"frozenset({'4+', 'NoDisco', 'NoSubscr'})"
91,0.21906116642958748,"frozenset({'4+', 'NoSubscr', 'NoPromo'})"
92,0.2332859174964438,"frozenset({'40-59', 'NoDisco', 'NoPromo'})"
93,0.2332859174964438,"frozenset({'40-59', 'NoDisco', 'NoSubscr'})"
94,0.2332859174964438,"frozenset({'40-59', 'NoSubscr', 'NoPromo'})"
95,0.26884779516358465,"frozenset({'Clothing', 'NoDisco', 'NoPromo'})"
96,0.26884779516358465,"frozenset({'Clothing', 'NoDisco', 'NoSubscr'})"
97,0.26884779516358465,"frozenset({'Clothing', 'NoSubscr', 'NoPromo'})"
98,0.30867709815078237,"frozenset({'NoDisco', 'NoPromo', 'Female'})"
99,0.30867709815078237,"frozenset({'NoDisco', 'NoSubscr', 'Female'})"
100,0.30867709815078237,"frozenset({'NoSubscr', 'NoPromo', 'Female'})"
101,0.2147937411095306,"frozenset({'Male', 'M', 'YesDisco'})"
102,0.2147937411095306,"frozenset({'Male', 'YesPromo', 'M'})"
103,0.24751066856330015,"frozenset({'NoDisco', 'M', 'NoPromo'})"
104,0.24751066856330015,"frozenset({'NoDisco', 'M', 'NoSubscr'})"
105,0.24751066856330015,"frozenset({'NoSubscr', 'M', 'NoPromo'})"
106,0.2147937411095306,"frozenset({'YesPromo', 'M', 'YesDisco'})"
107,0.2574679943100996,"frozenset({'Male', 'NoDisco', 'NoPromo'})"
108,0.2574679943100996,"frozenset({'Male', 'NoDisco', 'NoSubscr'})"
109,0.2574679943100996,"frozenset({'Male', 'NoSubscr', 'NoPromo'})"
110,0.43385490753911804,"frozenset({'Male', 'YesPromo', 'YesDisco'})"
111,0.2901849217638691,"frozenset({'Male', 'YesSubscr', 'YesDisco'})"
112,0.2901849217638691,"frozenset({'Male', 'YesPromo', 'YesSubscr'})"
113,0.566145092460882,"frozenset({'NoDisco', 'NoSubscr', 'NoPromo'})"
114,0.2901849217638691,"frozenset({'YesPromo', 'YesSubscr', 'YesDisco'})"
115,0.20483641536273114,"frozenset({'NoDisco', '20-39', 'NoPromo', 'NoSubscr'})"
116,0.22190611664295876,"frozenset({'NoDisco', 'NoSubscr', 'NoPromo', '3-4'})"
117,0.21906116642958748,"frozenset({'4+', 'NoDisco', 'NoSubscr', 'NoPromo'})"
118,0.2332859174964438,"frozenset({'40-59', 'NoDisco', 'NoSubscr', 'NoPromo'})"
119,0.26884779516358465,"frozenset({'Clothing', 'NoDisco', 'NoSubscr', 'NoPromo'})"
120,0.30867709815078237,"frozenset({'NoDisco', 'NoSubscr', 'NoPromo', 'Female'})"
121,0.2147937411095306,"frozenset({'M', 'Male', 'YesPromo', 'YesDisco'})"
122,0.24751066856330015,"frozenset({'NoDisco', 'M', 'NoSubscr', 'NoPromo'})"
123,0.2574679943100996,"frozenset({'Male', 'NoDisco', 'NoSubscr', 'NoPromo'})"
124,0.2901849217638691,"frozenset({'Male', 'YesPromo', 'YesSubscr', 'YesDisco'})"
